,Role,Company,Source,Location,Description
0,"Data Scientist, Engineering",Google,via Google Careers,"Bengaluru, Karnataka",Null
1,"Data Science Consultant (Bengaluru, India)",ZS Associates,via Jobs At ZS Associates - ZS,"Bengaluru, Karnataka","ZS is a professional services firm that works side by side with companies to help develop and deliver products that drive customer value and company results. From R&D to portfolio strategy, customer insights, marketing and sales strategy, operations and technology, we leverage our deep industry expertise and leading-edge analytics to create solutions that work in the real world. Our most valuable asset is our people—a fact that’s reflected in our values-driven organization in which new perspectives are integral and new ideas are celebrated. ZSers are passionately committed to helping companies and their customers thrive in industries ranging from healthcare and life sciences, to high-tech, financial services, travel and transportation, and beyond.

ZS’s India Capability & Expertise Center (CEC) houses more than 60% of ZS people across three offices in New Delhi, Pune and Bengaluru. Our teams work with colleagues across North America, Europe and East Asia to create and deliver real... world solutions to the clients who drive our business. The CEC maintains standards of analytical, operational and technological excellence across our capability groups. Together, our collective knowledge enables each ZS team to deliver superior results to our clients.

ZS's Business Consulting group partners with clients to design and deliver solutions to help them tackle a broad range of business challenges. Our teams work on multiple projects simultaneously, leveraging advanced data analytics and problem-solving techniques. Our recommendations and solutions are based on rigorous research and analysis underpinned by deep expertise and thought leadership.

DATA SCIENCE CONSULTANT

Data Science Consultants (DSCs) design, develop and execute high-impact analytics solutions for large, complex, structured and unstructured data sets (including big data) to help clients make better fact-based decisions.

Responsibilities:
• Develop advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner;
• Execute and teach application of statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large, unstructured data sets to identify trends, figures and other relevant information;
• Lead conversations with clients and other ZS stakeholders to effectively integrate and communicate analysis findings;
• Evaluate emerging datasets and technologies and help define our analytic platform;
• Own development of select assets/accelerators that create scale;
• Contribute to thought leadership through research and publication;
• Guide and manage project teams of Associates/Associate Consultants.

Qualifications:
• PhD degree in Computer Science, Statistics or related discipline, plus 2-4 years of relevant post-PhD work experience;
• In lieu of a PhD, 5-8 years of relevant post-collegiate job experience;
• Experience with big data/advanced analytics concepts and algorithms (e.g. text mining, social listening, recommender systems, predictive modeling, etc.);
• Relevant programming background (e.g. Java/Python/R);
• Strong understanding of relevant tools/platforms (e.g. Hadoop eco system and database systems);
• Agile project planning and project management experience;
• Team management and skill development experience;
• Relevant domain knowledge preferred; (healthcare/transportation/hi-tech/insurance);
• Excellent oral and written communication skills;
• Strong attention to detail, with a research-focused mindset;
• Excellent critical thinking and problem solving skills;
• High motivation, good work ethic and maturity.

ZS is a global consulting firm; fluency in English is required, additional fluency in at least one European or Asian language is desirable.

Candidates must possess work authorization for their intended country of employment. An on-line application, including a cover letter expressing interest and a full set of transcripts (official or unofficial), is required to be considered.

ZS offers a competitive compensation package with salary and bonus incentives, plus an attractive benefits package.

NO AGENCY CALLS, PLEASE.

Connect with ZS in India on social media:
• Like ZS in India on Facebook
• Follow ZS in India on Twitter and Instagram
• Follow ZS on LinkedIn for more job opportunities
• Subscribe to the ZS in India YouTube channel
• Explore the Life at ZS blog

ZS has been recognized globally for its expertise in consulting and its flexible work environment. View ZS’s accolades  world solutions to the clients who drive our business. The CEC maintains standards of analytical, operational and technological excellence across our capability groups. Together, our collective knowledge enables each ZS team to deliver superior results to our clients.

ZS's Business Consulting group partners with clients to design and deliver solutions to help them tackle a broad range of business challenges. Our teams work on multiple projects simultaneously, leveraging advanced data analytics and problem-solving techniques. Our recommendations and solutions are based on rigorous research and analysis underpinned by deep expertise and thought leadership.

DATA SCIENCE CONSULTANT

Data Science Consultants (DSCs) design, develop and execute high-impact analytics solutions for large, complex, structured and unstructured data sets (including big data) to help clients make better fact-based decisions.

Responsibilities:
• Develop advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner;
• Execute and teach application of statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large, unstructured data sets to identify trends, figures and other relevant information;
• Lead conversations with clients and other ZS stakeholders to effectively integrate and communicate analysis findings;
• Evaluate emerging datasets and technologies and help define our analytic platform;
• Own development of select assets/accelerators that create scale;
• Contribute to thought leadership through research and publication;
• Guide and manage project teams of Associates/Associate Consultants.

Qualifications:
• PhD degree in Computer Science, Statistics or related discipline, plus 2-4 years of relevant post-PhD work experience;
• In lieu of a PhD, 5-8 years of relevant post-collegiate job experience;
• Experience with big data/advanced analytics concepts and algorithms (e.g. text mining, social listening, recommender systems, predictive modeling, etc.);
• Relevant programming background (e.g. Java/Python/R);
• Strong understanding of relevant tools/platforms (e.g. Hadoop eco system and database systems);
• Agile project planning and project management experience;
• Team management and skill development experience;
• Relevant domain knowledge preferred; (healthcare/transportation/hi-tech/insurance);
• Excellent oral and written communication skills;
• Strong attention to detail, with a research-focused mindset;
• Excellent critical thinking and problem solving skills;
• High motivation, good work ethic and maturity.

ZS is a global consulting firm; fluency in English is required, additional fluency in at least one European or Asian language is desirable.

Candidates must possess work authorization for their intended country of employment. An on-line application, including a cover letter expressing interest and a full set of transcripts (official or unofficial), is required to be considered.

ZS offers a competitive compensation package with salary and bonus incentives, plus an attractive benefits package.

NO AGENCY CALLS, PLEASE.

Connect with ZS in India on social media:
• Like ZS in India on Facebook
• Follow ZS in India on Twitter and Instagram
• Follow ZS on LinkedIn for more job opportunities
• Subscribe to the ZS in India YouTube channel
• Explore the Life at ZS blog

ZS has been recognized globally for its expertise in consulting and its flexible work environment. View ZS’s accolades"
2,Senior Data Scientist - India Product,Twitter,via SmartRecruiters Jobs,"Bengaluru, Karnataka","Company Description

Twitter serves the public conversation because conversation is a force for good in the world. The opportunity to help the world connect, debate, learn, and solve problems is what draws us to careers at Twitter, and it’s what keeps us here.

Job Description

What You’ll Do:

Twitter’s mission is to be a global platform for public conversation. As part of this mission, we are committed to delivering a tailored experience for our growth markets around the world starting with India. The Data Science team works closely with full-stack teams including Product, Engineering, Design, and Research and performs advanced analyses, design metrics, and runs experiments to improve our product for Global markets. Your work will advance a deep understanding of how users are using our product, inform product decisions, and influence the company strategy.

Who You Are:

You have a broad and deep technical background in data science and analytics and are proficient at analyzing large... structured and unstructured datasets to derive insights. You are highly technical and hands-on but also demonstrate a strong product mindset. You provide strong technical mentorship to other data scientists and uplevel the overall technical bar of the DS team.

You take responsibility for the group’s short-term and long-term strategy, define the team's roadmap, success metrics, and priorities in close collaboration with multi-functional partners. You drive a culture of trust, respect, and inclusion within your teams.

You are great at:
• Delivering actionable results through your combination of data science solutions, product thinking, statistical knowledge, and deep understanding of data.
• Lead from the front in terms of developing a new hypothesis and connecting observed customer behavior to potential product solutions
• Mastering a fluid, open-ended mandate and possess a 0 to 1 mentality when it comes to crafting solutions
• Collaborating with product managers, engineers, designers, and user research to drive product impact
• Distilling complex analytical results into presentable, digestible, and actionable feedback for product and engineering teams
• Leading and prioritizing projects
• Creating a culture of rigor and scientific inquiry
• Understanding consumer products

Qualifications

Requirements:
• 4+ years experience in data science and quantitative analysis (preferably in an engineering or product role)
• Demonstrable first principle problem solving skills
• Strong programming skills (Python, R, SQL) and experience using common analysis tools (Hive, Presto, Scalding)
• Strong bias to action, creative problem solving mindset, and proactive communication

Preferred Qualifications:
• An advanced degree in a quantitative domain such as Computer Science, Machine Learning, Statistics, Operations Research, or similar. Masters and PhD is a plus but not required
• Proficiency with ML and data analytics technologies such as Spark, Airflow, TensorFlow, etc.
• Prior work experience with building India focused technology products is a plus.

Additional Information

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status  structured and unstructured datasets to derive insights. You are highly technical and hands-on but also demonstrate a strong product mindset. You provide strong technical mentorship to other data scientists and uplevel the overall technical bar of the DS team.

You take responsibility for the group’s short-term and long-term strategy, define the team's roadmap, success metrics, and priorities in close collaboration with multi-functional partners. You drive a culture of trust, respect, and inclusion within your teams.

You are great at:
• Delivering actionable results through your combination of data science solutions, product thinking, statistical knowledge, and deep understanding of data.
• Lead from the front in terms of developing a new hypothesis and connecting observed customer behavior to potential product solutions
• Mastering a fluid, open-ended mandate and possess a 0 to 1 mentality when it comes to crafting solutions
• Collaborating with product managers, engineers, designers, and user research to drive product impact
• Distilling complex analytical results into presentable, digestible, and actionable feedback for product and engineering teams
• Leading and prioritizing projects
• Creating a culture of rigor and scientific inquiry
• Understanding consumer products

Qualifications

Requirements:
• 4+ years experience in data science and quantitative analysis (preferably in an engineering or product role)
• Demonstrable first principle problem solving skills
• Strong programming skills (Python, R, SQL) and experience using common analysis tools (Hive, Presto, Scalding)
• Strong bias to action, creative problem solving mindset, and proactive communication

Preferred Qualifications:
• An advanced degree in a quantitative domain such as Computer Science, Machine Learning, Statistics, Operations Research, or similar. Masters and PhD is a plus but not required
• Proficiency with ML and data analytics technologies such as Spark, Airflow, TensorFlow, etc.
• Prior work experience with building India focused technology products is a plus.

Additional Information

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status"
3,Data Analyst (Interns & Freshers),Trell,via AngelList,"Bengaluru, Karnataka (+1 other)","Trell is seeking a talented Data Analyst to join our Team. If you are intellectually curious, if you eat/sleep/drink data and are committed to translating data to insights & insights to actionable work items, want new challenges daily and impact the lives of hundreds of thousands of users, this is the role for you!

What you'll do :

You will be working with Product and Business both. Following will be your responsibilities:

— Designing and evaluating business/product experiments

— Monitoring key metrics, understanding root causes of changes in metrics

— Building and analyzing dashboards and reports

— Building key data sets to empower operational and exploratory analysis

— Identifying new levers to help move key metrics

— Understanding ecosystems, user behaviors, and long-term trends

Minimum Qualifications :

— Degree in Computer Science, Math, Physics, Engineering, Statistics or other technical fields

— Experience in SQL, Excel

— Knowledge of basic statistics (e.g... hypothesis testing, regressions)

--- Should have expertise in a scripting language like python and be able to perform tasks like extracting data from database to an excel, or manipulation of data to generate insights

-- Experience with common data science toolkits (scikit, numpy, pandas). Strong knowledge of pandas and numpy is required.

-- Big Data and Machine learning knowledge is a big plus.

Note:

Looking for interns for 3-6 month period and PPO opportunity post internship

Need to carry his/her laptop. work location @ Bangalore. If you are Interested email your resume to vivek@trell.in

Trell focuses on Social Commerce, Content, Lifestyle, and Social. Their company has offices in Bengaluru. They have a mid-size team that's between 51-200 employees. To date, Trell has raised $5.5M of funding; their latest round was closed on March 2020.

You can view their website at http://trell.co/ or find them on Twitter, Facebook, LinkedIn, and Product Hunt  hypothesis testing, regressions)

--- Should have expertise in a scripting language like python and be able to perform tasks like extracting data from database to an excel, or manipulation of data to generate insights

-- Experience with common data science toolkits (scikit, numpy, pandas). Strong knowledge of pandas and numpy is required.

-- Big Data and Machine learning knowledge is a big plus.

Note:

Looking for interns for 3-6 month period and PPO opportunity post internship

Need to carry his/her laptop. work location @ Bangalore. If you are Interested email your resume to vivek@trell.in

Trell focuses on Social Commerce, Content, Lifestyle, and Social. Their company has offices in Bengaluru. They have a mid-size team that's between 51-200 employees. To date, Trell has raised $5.5M of funding; their latest round was closed on March 2020.

You can view their website at http://trell.co/ or find them on Twitter, Facebook, LinkedIn, and Product Hunt"
4,Data Scientist I/II,Philips,via Philips Careers,"Bengaluru, Karnataka (+1 other)","Job Title
Data Scientist I/II

Job Description

Job Description

At Philips, data is in the centre of everything we do. We believe that, every data item has a story of its own. If you have a penchant for unravelling the hidden patterns, then you are the person we are looking for!

To build our next generation smarts, you will be working with experts in a variety of fields, including clinical & regulatory specialists, UX designers, dental and skin care professionals, system architects, product management to integrate new technologies and refine system performance. You will help build learning systems, leveraging data sets consisting of user interactions and actions, collected from hundreds of thousands of consumer devices, per day to model, analyse, and predict user behaviours. While some of our algorithms run on resource constrained devices, others require large clusters on our cloud infrastructure. As data scientist you will investigate, discern, and interpret data sets to recognize... user behaviour and predict trends.

Job Responsibilities

·Use predictive modeling to increase and optimize customer experiences, revenue generation, campaign optimization and other business outcomes

·Work with product management to develop data use cases and embed predictive models in workflows on resource constrained platforms and cloud enabled.

·Selecting features, building and optimizing classifiers using machine learning and deep learning techniques

·Collaborates with Data Engineers to enhance data collection and ingestion/curation techniques to include information that is relevant for building analytic systems

·Processing, cleansing, and verifying the integrity of data used for analysis

·Develop processes and tools to monitor and analyze model performance and data accuracy. Life cycle management of predictive models.

·Adherence to compliance procedures in accordance with regulatory standards, requirements, and policies. Managing and designing the reporting environment, including data sources security, and metadata.

Job Qualifications:
• Master’s degree or PhD in Computer Science, Information management, Statistics or related field, with 5 to 7 years of experience in the Consumer or Healthcare industry manipulating data sets and building predictive models with focus on product development
• Experience in statistical modelling, machine learning, data mining, unstructured data analytics and natural language processing. Sound understanding of - Bayesian Modelling, Classification Models, Cluster Analysis, Neural Network, Nonparametric Methods, Multivariate Statistics, etc.
• Strong hands on knowledge of ML techniques like regression algorithms, K-NN, Naïve Bayes, SVM and ensemble techniques like Random forest, AdaBoost etc
• Having strong knowledge in unsupervised learning algorithms using Neural networks and Deep-Learning
• Strong knowledge in Data Wrangling and Exploration techniques to identify the patterns, trends and outliners.
• Deep knowledge and practical experience with data science toolkits, such as NumPy, Pandas, scikit-learn or equivalent
• Experience with data visualization tools, such as QlikView, Matplotlib, seaborn or equivalent tools.
• Proficiency in using query languages, such as SQL, PL/SQL
• Hands on experience in the one or more databases like Hadoop, AWS Redshift, Snowflake etc.
• Good applied statistics skills, such as distributions, statistical testing, regression, etc.
• Good ETL scripting and programming skills, such as Python, R or Scala to integrate developed solution into the proposition.
• A team player capable of working and integrating across cross-functional team for implementing project requirements. Experience in technical requirements gathering and documentation.
• Ability to work effectively and independently in a fast-paced global collaborative agile team environment with tight deadlines
• A flexible, pragmatic and collaborative team player with innate ability to engage with stakeholders at all levels in the organization.
• A self-starter with high levels of drive, energy, resilience and a desire for professional excellence with a passion for data and data science

#LI-PHILIN

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it.

If you have any other questions regarding the recruitment process please refer to our FAQs. In case of technical difficulties with the website, please send an email to careersite@philips.com.
(Note: To ensure fairness and legal compliance in our recruitment processes, only technical issues will be monitored through the above inbox. Please do not submit resumes or applications to this email, as they will not be reviewed. Only applications received through the online application process will be considered  user behaviour and predict trends.

Job Responsibilities

·Use predictive modeling to increase and optimize customer experiences, revenue generation, campaign optimization and other business outcomes

·Work with product management to develop data use cases and embed predictive models in workflows on resource constrained platforms and cloud enabled.

·Selecting features, building and optimizing classifiers using machine learning and deep learning techniques

·Collaborates with Data Engineers to enhance data collection and ingestion/curation techniques to include information that is relevant for building analytic systems

·Processing, cleansing, and verifying the integrity of data used for analysis

·Develop processes and tools to monitor and analyze model performance and data accuracy. Life cycle management of predictive models.

·Adherence to compliance procedures in accordance with regulatory standards, requirements, and policies. Managing and designing the reporting environment, including data sources security, and metadata.

Job Qualifications:
• Master’s degree or PhD in Computer Science, Information management, Statistics or related field, with 5 to 7 years of experience in the Consumer or Healthcare industry manipulating data sets and building predictive models with focus on product development
• Experience in statistical modelling, machine learning, data mining, unstructured data analytics and natural language processing. Sound understanding of - Bayesian Modelling, Classification Models, Cluster Analysis, Neural Network, Nonparametric Methods, Multivariate Statistics, etc.
• Strong hands on knowledge of ML techniques like regression algorithms, K-NN, Naïve Bayes, SVM and ensemble techniques like Random forest, AdaBoost etc
• Having strong knowledge in unsupervised learning algorithms using Neural networks and Deep-Learning
• Strong knowledge in Data Wrangling and Exploration techniques to identify the patterns, trends and outliners.
• Deep knowledge and practical experience with data science toolkits, such as NumPy, Pandas, scikit-learn or equivalent
• Experience with data visualization tools, such as QlikView, Matplotlib, seaborn or equivalent tools.
• Proficiency in using query languages, such as SQL, PL/SQL
• Hands on experience in the one or more databases like Hadoop, AWS Redshift, Snowflake etc.
• Good applied statistics skills, such as distributions, statistical testing, regression, etc.
• Good ETL scripting and programming skills, such as Python, R or Scala to integrate developed solution into the proposition.
• A team player capable of working and integrating across cross-functional team for implementing project requirements. Experience in technical requirements gathering and documentation.
• Ability to work effectively and independently in a fast-paced global collaborative agile team environment with tight deadlines
• A flexible, pragmatic and collaborative team player with innate ability to engage with stakeholders at all levels in the organization.
• A self-starter with high levels of drive, energy, resilience and a desire for professional excellence with a passion for data and data science

#LI-PHILIN

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it.

If you have any other questions regarding the recruitment process please refer to our FAQs. In case of technical difficulties with the website, please send an email to careersite@philips.com.
(Note: To ensure fairness and legal compliance in our recruitment processes, only technical issues will be monitored through the above inbox. Please do not submit resumes or applications to this email, as they will not be reviewed. Only applications received through the online application process will be considered"
5,Data Science Intern,Sony Research India,via LinkedIn,Anywhere,"Sony's R&D Centers support the different Sony business entities using cutting-edge research & technology. They already have teams and assets in the data science domain and have been applying it to various business domains of Sony & now looking at helping Sony's business in India.

Key Responsibilities

Together with the head of data science & team of data scientists, work on the research & development activities daily and contribute to reporting, coding, testing, and implementing relevant models. Also, some other responsibilities but not limited to will be scraping data from the public domain and researching the content recommendation for the OTT platforms.

Work Location:
• Remote/ Mumbai/Bengaluru, India

Duration:
• The internship will start by May first week.
• 3 to 6 months
• 9:30 to 18:00 (Monday to Friday) fulltime

Essential Education / Qualifications / Experience:
• Bachelors, masters, or Ph.D. from Computer Science background.

Must-Have Skills:
• Python coding
•... Statistics
• Strong SQL theoretical knowledge
• ML basics

Preferred Qualifications / Experience:
• Advanced Machine Learning concepts
• AWS or any other cloud service knowledge  Statistics
• Strong SQL theoretical knowledge
• ML basics

Preferred Qualifications / Experience:
• Advanced Machine Learning concepts
• AWS or any other cloud service knowledge"
6,Data Scientist,Yoodle,via Shine.com,"Bengaluru, Karnataka (+1 other)","Data Scientist

Data Analytics Bangalore, India Description

About the Organization

Yodlee delivers innovative Personal Finance and Money Movement applications that make online banking more profitable for our customers. Almost 900 companies in over 10 countries, including 9 of the 15 largest U.S. banks and hundreds of Internet services companies, subscribe to the Yodlee platform to power personalized financial apps and services for millions of consumers.

What We Have

The business has grown many folds since its inception in 2012 and the exponential growth continues. We are looking for key members for our Data Sciences team who have demonstrated skills and mastery in one or more Data Science technologies.

What You Have

Must have:
• Candidate should have demonstrated the use of Data Science to solve a real world problems with large data sets.
• Hands on experience in one of the relevant field viz. Data Science, Machine Learning, Deep Learning.
• Ability to write code perform... following tasks using at least one of Python (preferred), R, Matlab.
• Data processing / analysis / manipulation
• Predictive modeling
• Data processing / analysis / manipulation
• Predictive modeling
• Conceptual understanding of some statistical modelling/machine learning algorithms.
• Able to handle large datasets

Good to have skills
• Machine learning algorithms (like Regression, SVM, Decision Trees, PCA, Clustering etc.)
• Neural Networks and Deep Learning (RBM, CNN, DBN, LSTM etc.)
• Text analysis and Natural language processing
• Experience with AWS
• Advance Mathematics (Linear Algebra, Bayesian methods)
• Tools/Languages/Libraries pandas, scikit-learn, PySpark, R, Tensorflow
• Being a team player and able to co-ordinate with different stakeholders.
• Effective communication and storytelling.

Role and Responsibilities
• Work independently or in team to solve complex problems and create scalable models/algorithms that will be integrated into Yodlee s tools and products.
• Come up with actionable ideas to solve problems faced by product managers senior leadership then implement those ideas .
• Communicate context, data, solution and implications to the team, senior leaders and stakeholders.
• Lead and guide junior data scientists to deliver results (if applicable)
• Collaborate with other teams like quality assurance team and engineer team (if applicable)

Qualifications and Experience
• Masters (preferred)/BTech in Data Science/computer Science/ Mathematics/ Statistics/ Economics or MBA Finance/Data Science from premier
• 1-10 years of experience   following tasks using at least one of Python (preferred), R, Matlab.
• Data processing / analysis / manipulation
• Predictive modeling
• Data processing / analysis / manipulation
• Predictive modeling
• Conceptual understanding of some statistical modelling/machine learning algorithms.
• Able to handle large datasets

Good to have skills
• Machine learning algorithms (like Regression, SVM, Decision Trees, PCA, Clustering etc.)
• Neural Networks and Deep Learning (RBM, CNN, DBN, LSTM etc.)
• Text analysis and Natural language processing
• Experience with AWS
• Advance Mathematics (Linear Algebra, Bayesian methods)
• Tools/Languages/Libraries pandas, scikit-learn, PySpark, R, Tensorflow
• Being a team player and able to co-ordinate with different stakeholders.
• Effective communication and storytelling.

Role and Responsibilities
• Work independently or in team to solve complex problems and create scalable models/algorithms that will be integrated into Yodlee s tools and products.
• Come up with actionable ideas to solve problems faced by product managers senior leadership then implement those ideas .
• Communicate context, data, solution and implications to the team, senior leaders and stakeholders.
• Lead and guide junior data scientists to deliver results (if applicable)
• Collaborate with other teams like quality assurance team and engineer team (if applicable)

Qualifications and Experience
• Masters (preferred)/BTech in Data Science/computer Science/ Mathematics/ Statistics/ Economics or MBA Finance/Data Science from premier
• 1-10 years of experience "
7,Data Science Jobs For Freshers & Exp | Myntra.com | Bangalore ...,Myntra,via Data Science Jobs,"Bengaluru, Karnataka (+1 other)","In an exclusive interaction with Express Computer, Ved Antani, Vice President, Engineering, Myntra discusses how the company is solving fashion problems using "
8,Data Scientist,ConcertAI,via Glassdoor,"Bengaluru, Karnataka","About ConcertAI

ConcertAI is the leading provider of precision oncology solutions for biopharma and healthcare, leveraging the largest collection of research-grade Real-world Data and the only broadly deployed oncology-specific AI solutions. Our mission is to improve translational sciences; accelerate therapeutic clinical development; and provide new capabilities for post-approval studies to accelerate needed new medical innovations to patients and to improve patient outcomes.

ConcertAI has emerged as one of the highest growth technology companies in Real-world Data and AI, backed by industry leading private equity companies: SymphonyAI, Declaration Partners, Maverick Ventures, and Alliance|Bernstein.

Responsibilities
• The Clinical Data Scientist will work on analyzing large Real World Data (EMR , genomics and other clinical data) in Oncology. The problems will range from complex descriptive analytics and interpretation to predictive analytics for outcome prediction.
• Will work... closely with expert machine learning scientists to jointly develop cutting edge solutions that will be used in production.
• Responsible for clinical validation of results of the AI & statistical models
• Work closely with Product Management translating customer & product requirements to technical requirements
• Communicate results to Senior Management and Customers

Requirements
• Strong clinical knowledge in oncology and familiarity with electronic medical records and taxonomies is highly desired.
• Experience in real world data and/or clinical trial analytics & predictive modeling is highly desired.
• Good working knowledge of SQL & hands-on experience with R and/or Python is required.
• Familiarity with biostatistics and machine learning techniques is highly desired.
• Familiarity with cloud systems (AWS) is desired.
• Strong track record of execution against tight deadlines.
• Masters or PhD in biostatistics, statistics, computational biology, epidemiology or related fields.
• Strong communication skills and team player.
• Ability to thrive in a startup environment.

Learn More About ConcertAI

ConcertAI is transforming how healthcare is delivered and dedicated to improving patient outcomes in oncology by offering innovative solutions on how data and intelligence is used to solve healthcare problems. We are creating something special in our culture by building a collaborative, engaged, patient focused, team approach to our mission. Our high-performance teams are looking to add great talent to the mix and we are hiring for the right mix of new skills and diverse mindset. Learn more about ConcertAI at www.concertai.com or on LinkedIn  closely with expert machine learning scientists to jointly develop cutting edge solutions that will be used in production.
• Responsible for clinical validation of results of the AI & statistical models
• Work closely with Product Management translating customer & product requirements to technical requirements
• Communicate results to Senior Management and Customers

Requirements
• Strong clinical knowledge in oncology and familiarity with electronic medical records and taxonomies is highly desired.
• Experience in real world data and/or clinical trial analytics & predictive modeling is highly desired.
• Good working knowledge of SQL & hands-on experience with R and/or Python is required.
• Familiarity with biostatistics and machine learning techniques is highly desired.
• Familiarity with cloud systems (AWS) is desired.
• Strong track record of execution against tight deadlines.
• Masters or PhD in biostatistics, statistics, computational biology, epidemiology or related fields.
• Strong communication skills and team player.
• Ability to thrive in a startup environment.

Learn More About ConcertAI

ConcertAI is transforming how healthcare is delivered and dedicated to improving patient outcomes in oncology by offering innovative solutions on how data and intelligence is used to solve healthcare problems. We are creating something special in our culture by building a collaborative, engaged, patient focused, team approach to our mission. Our high-performance teams are looking to add great talent to the mix and we are hiring for the right mix of new skills and diverse mindset. Learn more about ConcertAI at www.concertai.com or on LinkedIn"
9,Data Scientist,Aptiv,via ZipRecruiter India,"Bengaluru, Karnataka (+1 other)","We are looking forData Scientist who is Responsible for Design and develop systems/frameworks with Python in Linux environment.

Your role
• Design and develop systems/frameworks with Python in Linux environment.
• Analyze customer requirements, internal product requirements and plan implementation for tasks.
• Involve in active and regular communications with teams residing in different locations globally.
• Plan, track and coordinate the tasks across multiple OEM programs teams.
• Analyze data and test results, apply validation methods and report findings and results to the cross-functional team and team leads.
• Involve in competency development for new/upcoming tools and technologies
• Promote Standardization of tools, methodologies, models and test scripts for software and system development.
• Identify, analyze and develop automation tools in C++/MATLAB/VB/Python scripts to simplify manual tasks and to increase team throughput.

Your Background:
• A graduate in BE / B.Tech... (Computer Science /Data Science).

An experience of 3-7 years
• A go-getter, good in communication, challenge ideas to achieve career aspirations aligned with Aptiv mission

A Learning Enthusiast to be passionate about learning, follow trends and publications in the market outlining new solutions
• 1-2 years of experience with production web deployment (OR)
• Minimum of 3-4 years professional software development experience with Python in Linux environment
• 1-2 years of experience with production web deployment (OR)
• Minimum of 3-4 years professional software development experience with Python in Linux environment
• 1-2 years of experience with front-end development using React.js

1-2 years of experience with server-side development using Django

1-2 years of experience with Docker and/or singularity (OR)

1-2 years of experience with cloud services like AWS EC2, Azure VMs, etc
• Nice to haves (preferred qualifications)
• Experience working in Automotive industry(ADAS)
• 1 to 2 years' experience with MATLAB
• Familiar with development process capability maturity models (Automotive SPICE, CMMI)

Aptiv Rewards & Advantages:
• Interesting career in a leading, world-recognized company;
• Opportunity to professional growth and personal development in an international environment
• Ability to implement own ideas and solutions

Some see differences. We see perspectives that make us stronger.

Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptiv's success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, you'll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.

Some see technology. We see a way to make connections.

At Aptiv, we don't just see the world differently; we work to change reality. That means developing technology that rewrites the rules of what's possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 160,000 of us globally, located in 44 countries, and united by one mission.Join the movement and together, let's change tomorrow.

Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates

Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law  (Computer Science /Data Science).

An experience of 3-7 years
• A go-getter, good in communication, challenge ideas to achieve career aspirations aligned with Aptiv mission

A Learning Enthusiast to be passionate about learning, follow trends and publications in the market outlining new solutions
• 1-2 years of experience with production web deployment (OR)
• Minimum of 3-4 years professional software development experience with Python in Linux environment
• 1-2 years of experience with production web deployment (OR)
• Minimum of 3-4 years professional software development experience with Python in Linux environment
• 1-2 years of experience with front-end development using React.js

1-2 years of experience with server-side development using Django

1-2 years of experience with Docker and/or singularity (OR)

1-2 years of experience with cloud services like AWS EC2, Azure VMs, etc
• Nice to haves (preferred qualifications)
• Experience working in Automotive industry(ADAS)
• 1 to 2 years' experience with MATLAB
• Familiar with development process capability maturity models (Automotive SPICE, CMMI)

Aptiv Rewards & Advantages:
• Interesting career in a leading, world-recognized company;
• Opportunity to professional growth and personal development in an international environment
• Ability to implement own ideas and solutions

Some see differences. We see perspectives that make us stronger.

Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptiv's success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, you'll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.

Some see technology. We see a way to make connections.

At Aptiv, we don't just see the world differently; we work to change reality. That means developing technology that rewrites the rules of what's possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 160,000 of us globally, located in 44 countries, and united by one mission.Join the movement and together, let's change tomorrow.

Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates

Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law"
