,Role,Company,Source,Location,Description
0,Full-Stack Developer (India),Vimeo,via Greenhouse,"Bengaluru, Karnataka",Null
1,"Software Engineer, Full Stack",Google,via Google Careers,"Bengaluru, Karnataka","Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.

The Customer Engagement engineering team is central in helping Google learn from billions of users to improve product quality and experience. On this team you'll help build innovative intelligence-first solutions with unique exposure to Google-wide products and have impact on billions of users.

Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive... scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.

Hiring teams include:

Google Pay

Google’s mobile payments and commerce app for our Next Billions Users (NBU) markets. It was made first for India with an incredible adoption since launch.

Bolo

A speech-based reading-tutor app that helps children learn to read. Our team’s mission is universal literacy, we believe that everyone should be able to read.

Web Search

This team works on critical search features that reside in the Google.com search result page. These involve cutting edge ML and information retrieval techniques around language and text understanding, sophisticated ranking algorithms, building large-scale serving infrastructure, and UI innovation to surface rich structured information in search. The team focuses both on solving important India-specific search problems and technologies that cater to global search features  scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.

Hiring teams include:

Google Pay

Google’s mobile payments and commerce app for our Next Billions Users (NBU) markets. It was made first for India with an incredible adoption since launch.

Bolo

A speech-based reading-tutor app that helps children learn to read. Our team’s mission is universal literacy, we believe that everyone should be able to read.

Web Search

This team works on critical search features that reside in the Google.com search result page. These involve cutting edge ML and information retrieval techniques around language and text understanding, sophisticated ranking algorithms, building large-scale serving infrastructure, and UI innovation to surface rich structured information in search. The team focuses both on solving important India-specific search problems and technologies that cater to global search features"
2,Fullstack Developer,IBM,via IBM Global Careers,"Bengaluru, Karnataka","Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Who You Are:
Full Stack Developers will design, develop and support application solutions with focus on building and testing Java application. This role may design, develop and/or re-engineer highly complex application components, and integrate software packages, programs and reusable objects. The development... team will both do new development activities but also support production break/fix as well as dev/ops activities.
What You’ll Do:
You will use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
• Intuitive individual with an ability to manage change and proven time management
• Ability to independently analyses requirements based on a given specification and come up with a sound and balanced algorithmic design
• Perform application development based on Agile methodologies & participate in requirements / user story analysis, design and execution
• Conduct appropriate unit and module testing; detect, report, investigate and fix defects in the application (production support)
• Continually focus on improving the application
• Work effectively in collaboration with other team members, partners and other support functions when required
• Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
• Develop and manage well-functioning databases and applications
• Write effective APIs
• Comply with IT Security Standards, including but not limited to security and data protection settings
• Write technical documentation
• Demonstrate understanding of requirements definition and validation, as well as transformation to test cases, steps, User Stories, for a deep knowledge in Predictive, Hybrid and Agile development cycles and agile transformation tools ie. Github, Zenhub, RTC, Murally, Trello, slack, webex, etc.

Required Technical and Professional Expertise
• 3-5 years of relevant years of experience in applications development using Java Spring Framework with expertise on JavaScript, AngularJS, Core Java, J2EE and other related technologies
• Working knowledge in web development tools such as Reactjs, HTML 5, CSS 3, J2EE features (Servlets, EJBs, etc.) and JQuery
• Proven ability in Web Service implementation (RESTful and SOAP)
• Hands on experience in OOAD and Design Patterns, knowledge of Data Structures and Algorithms, and SQL, XML and JSON
• Knowledge of OOP languages and MVC framework along with the Component Development in Action Script
• Ability to independently analyze requirements based on a given specification and come up with a sound and balanced algorithmic design.

Preferred Technical and Professional Expertise
• Exposure to Cloud technologies, Python, GO Lang, Migration to Cloud/SaaS environments desirable
• Demonstrated experience in troubleshooting and ability to display analytical thinking for problem solving
• Ability to perform data discovery/quality analysis and architect a solution
• Experience in performing or guide team to perform key architectural and development task
• Expertise in developing a value proposition and working with Offering/Product Managers

None  team will both do new development activities but also support production break/fix as well as dev/ops activities.
What You’ll Do:
You will use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
• Intuitive individual with an ability to manage change and proven time management
• Ability to independently analyses requirements based on a given specification and come up with a sound and balanced algorithmic design
• Perform application development based on Agile methodologies & participate in requirements / user story analysis, design and execution
• Conduct appropriate unit and module testing; detect, report, investigate and fix defects in the application (production support)
• Continually focus on improving the application
• Work effectively in collaboration with other team members, partners and other support functions when required
• Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
• Develop and manage well-functioning databases and applications
• Write effective APIs
• Comply with IT Security Standards, including but not limited to security and data protection settings
• Write technical documentation
• Demonstrate understanding of requirements definition and validation, as well as transformation to test cases, steps, User Stories, for a deep knowledge in Predictive, Hybrid and Agile development cycles and agile transformation tools ie. Github, Zenhub, RTC, Murally, Trello, slack, webex, etc.

Required Technical and Professional Expertise
• 3-5 years of relevant years of experience in applications development using Java Spring Framework with expertise on JavaScript, AngularJS, Core Java, J2EE and other related technologies
• Working knowledge in web development tools such as Reactjs, HTML 5, CSS 3, J2EE features (Servlets, EJBs, etc.) and JQuery
• Proven ability in Web Service implementation (RESTful and SOAP)
• Hands on experience in OOAD and Design Patterns, knowledge of Data Structures and Algorithms, and SQL, XML and JSON
• Knowledge of OOP languages and MVC framework along with the Component Development in Action Script
• Ability to independently analyze requirements based on a given specification and come up with a sound and balanced algorithmic design.

Preferred Technical and Professional Expertise
• Exposure to Cloud technologies, Python, GO Lang, Migration to Cloud/SaaS environments desirable
• Demonstrated experience in troubleshooting and ability to display analytical thinking for problem solving
• Ability to perform data discovery/quality analysis and architect a solution
• Experience in performing or guide team to perform key architectural and development task
• Expertise in developing a value proposition and working with Offering/Product Managers

None"
3,Full stack developer,Zoomtail,via BigShyft,"Bengaluru, Karnataka (+1 other)","What you'll do :-
• We are looking for software development engineers to form our initial core team to design and develop our marketplace platforms from scratch.
• These include scalable backend platform and frontend applications for customer & seller apps, demand generation platform, supply chain & logistics platform, and several cross platform components.
• As an early stage startup growing at fast pace, we are looking for leaders who have the hunger to work with some of the smartest people, and leave a legacy.
• The work we do will impact real lives, and has the potential to bring positive change to a billion people by fundamentally changing the face of the B2B ecosystem in India, leave a legacy in the country, and in the technology fraternity. "
4,Full Stack Developer,akrishinfotech,via LinkedIn,"Bengaluru, Karnataka","should have 4+ years experience
full stack developer

UI/Frontend -

Must have -

· Any UI Framework such as Angular , ReactJs etc.

· Basic knowledge on HTML , CSS and JavaScript

· Experience with integrating Front end with backend

Good to have -

· Extensive knowledge on one or more UI Framework

· jQuery

Backend/JAVA -

Must Have -

· Core Java knowledge (At-least JAVA 1.8)

· Spring Boot, Spring MVC

· Good knowledge around hosting and consuming webservices- REST API

· Experience with Maven/Gradle

· Experience with connecting any of the ORM (Hibernate/JPA)

· Unit Test cases(Junit, Mockito etc)

Good to have -

· Microservices Architecture

· Any Cloud exposure

· Docker Container

· CI/CD Pipeline "
5,Full Stack Java Developer-Spring Boot (6 months-3 yrs),Mindbowser Info Solutions Pvt Ltd,via SmartRecruiters Jobs,"Pune, Maharashtra (+1 other)","Company Description

Mindbowser Info solutions is a digital transformation services provider working with global brands aiding on their journey to digital transformation. Mindbowser offers a suite of products and services around user experience, automation, analytics, and mobility that in turn helps businesses become more efficient and improves profitability.

Job Description

Essential Responsibilities:
• Study, Design, and prototyping of new technology implementation
• Work in Collaboration with teams
• Work on new technologies and solutions independently.
• Should be able to think out of the box and contribute towards project success

Required Skills:
• Experience in the below backend technologies is a must.
• Java/J2EE - With knowledge of Springboot.
• For Frontend, Min 6 months of experience in React or Angular is a must.
• Knowledge of Design Patterns for scalable Architecture using WebServices, HTML5 / CSS3 / JavaScript, jQuery, OAuth, etc and Maven is compulsory.
• Good... understanding of RDBMS(MySql, Postgres SQL) along with ORM frameworks is also needed.
• Knowledge of algorithms, Object-Oriented Programming, and Design Patterns is a must.

Nice to Have:
• Knowledge of any cloud
• Knowledge of CI/CD e.g Jenkins
• Knowledge on no-sql databases like Mongodb, DynamoDb etc

Desired Characteristics:
• Should be a self-motivated, result-oriented and an excellent team player
• Should be able to work under a competitive time frame and deliver.
• Should be a very fast learner and have excellent problem-solving ability
• Should have excellent written and verbal communication skills.

Qualifications

Basic Qualifications:
• M Tech/MCA/BE/B-Tech in CS, IT, EC
• 6 months - 3 years of development experience in developing responsive user interface for single page application.
• Expertise in building products from scratch, actively involved in design, development and unit testing  understanding of RDBMS(MySql, Postgres SQL) along with ORM frameworks is also needed.
• Knowledge of algorithms, Object-Oriented Programming, and Design Patterns is a must.

Nice to Have:
• Knowledge of any cloud
• Knowledge of CI/CD e.g Jenkins
• Knowledge on no-sql databases like Mongodb, DynamoDb etc

Desired Characteristics:
• Should be a self-motivated, result-oriented and an excellent team player
• Should be able to work under a competitive time frame and deliver.
• Should be a very fast learner and have excellent problem-solving ability
• Should have excellent written and verbal communication skills.

Qualifications

Basic Qualifications:
• M Tech/MCA/BE/B-Tech in CS, IT, EC
• 6 months - 3 years of development experience in developing responsive user interface for single page application.
• Expertise in building products from scratch, actively involved in design, development and unit testing"
6,Full Stack Developer (MERN),CareerNinja,via AngelList,Anywhere,"About this role

CareerNinja is a personalised learning platform, that leverages AI to create customised learning environments for a learner based on their goal and background.

It curates the right content & connects to the right industry mentors & job opportunities to enable youth to learn in an experiential manner & achieve their next career goal.

We are ultimately working to productise learning & career goal achievement so as to make the same accessible to anyone at mass-global scale.

Your role, very simply put, is to work with the Founder, Product & Tech teams to build this. You will be a part of young, highly driven, very supportive & close knit team, and get the experience of building a product right from it's early days, owning features & ultimately scaling & iterating them.

Thus we are looking for Passionate software engineers who care for their craft & want to make a difference with their work. In this role, you will be responsible to develop, deploy and maintain large... applications aimed at improving customer experience and solving problems for our users. You should be able to deliver solutions which are scalable. So if you are passionate about working in a startup, this is the place for you.

Past Experience in MERN stack is a must.

Responsibilities
• Develop, deploy and maintain scalable product.
• Pair with team members for functional and nonfunctional requirements and write well-crafted, well-tested, readable, maintainable code.
• Passionate about writing clean code and wants to continuously improve the system.
• Effectively communicate, collaborate and work across teams.
• Participate in code reviews, design discussions to ensure code quality and distribute knowledge.
• Help to define roadmap and architecture based on technology and business needs
• Understand business requirements and work closely with the business to provide solutions.

Experience
• 1.5+ years experience with hands-on experience in designing, developing, testing and deploying large scale applications in any javascript framework.
• Good experience in NodeJS and willing to learn other technologies.
• Experience in developing mobile apps(Android/iOS).
• Experience in developing web apps using Angular/React.
• Good understanding of object-oriented modeling.
• Data modeling experience in both relational and NoSQL databases(MongoDB preferred).
• Working knowledge on rest services, cache, ci/cd pipelines.
• Good understanding of Agile methodologies, TDD and Automation
• Passion for learning new things and solving challenging problems.
• Past experience in DevOps/AI/ML/Python would be a good plus.

Benefits

Working with us could be your best decision if you're looking for learning, growth and wide exposure. You will be given real responsibilities, freedom to make decisions and come up with ideas and work closely with the founder and the core team, all in a flexible, casual and young (everyone under 27) work environment.

Flexible work, free snacks, board game breaks, etc are just a regular part of our work life.

CareerNinja focuses on Education and Education Technology. Their company has offices in Mumbai. They have a small team that's between 11-50 employees.

You can view their website at http://www.careerninja.in or find them on Twitter, Facebook, and LinkedIn  applications aimed at improving customer experience and solving problems for our users. You should be able to deliver solutions which are scalable. So if you are passionate about working in a startup, this is the place for you.

Past Experience in MERN stack is a must.

Responsibilities
• Develop, deploy and maintain scalable product.
• Pair with team members for functional and nonfunctional requirements and write well-crafted, well-tested, readable, maintainable code.
• Passionate about writing clean code and wants to continuously improve the system.
• Effectively communicate, collaborate and work across teams.
• Participate in code reviews, design discussions to ensure code quality and distribute knowledge.
• Help to define roadmap and architecture based on technology and business needs
• Understand business requirements and work closely with the business to provide solutions.

Experience
• 1.5+ years experience with hands-on experience in designing, developing, testing and deploying large scale applications in any javascript framework.
• Good experience in NodeJS and willing to learn other technologies.
• Experience in developing mobile apps(Android/iOS).
• Experience in developing web apps using Angular/React.
• Good understanding of object-oriented modeling.
• Data modeling experience in both relational and NoSQL databases(MongoDB preferred).
• Working knowledge on rest services, cache, ci/cd pipelines.
• Good understanding of Agile methodologies, TDD and Automation
• Passion for learning new things and solving challenging problems.
• Past experience in DevOps/AI/ML/Python would be a good plus.

Benefits

Working with us could be your best decision if you're looking for learning, growth and wide exposure. You will be given real responsibilities, freedom to make decisions and come up with ideas and work closely with the founder and the core team, all in a flexible, casual and young (everyone under 27) work environment.

Flexible work, free snacks, board game breaks, etc are just a regular part of our work life.

CareerNinja focuses on Education and Education Technology. Their company has offices in Mumbai. They have a small team that's between 11-50 employees.

You can view their website at http://www.careerninja.in or find them on Twitter, Facebook, and LinkedIn"
7,Java Full Stack Developer (1009230),Hitachi Careers,via Hitachi - Careers,"Bengaluru, Karnataka","The Role

We are seeking a Full Stack Developer to join a fast-paced, highly collaborative engineering team. In this role, you will work with a cross-functional engineering team to prototype, design, and develop software solutions. The Engineering team embraces a highly collaborative development model that requires deep development involvement from start to finish of each project.

Responsibilities
• Design, develop, deploy, and support scalable software applications/systems
• Build and maintain products and solutions throughout its life cycle
• Collaborate and work with cross-functional engineering team members to turn requirements into prototypes, technical designs, and implementation
• Collaborate with a team of developers to maintain technical design and code standards
• Participate in reviews of business requirements
• Contribute to functional specifications and technical designs
• Participate in reviews of feature designs and test plans

Qualifications
• 3-9 years of hands-on... contribution in software engineering or related field
• Strong knowledge of Object Oriented development and design principles
• Deep understanding of engineering processes
• Advanced problem solving skills
• Ability to convey complex technical information in a clear and concise manner
• Tech savvy, detail oriented, and highly driven
• Outstanding interpersonal and communication skills
• A genuine passion for engineering high-quality solutions
• Relevant formal education, including BSCS or MSCS

We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status  contribution in software engineering or related field
• Strong knowledge of Object Oriented development and design principles
• Deep understanding of engineering processes
• Advanced problem solving skills
• Ability to convey complex technical information in a clear and concise manner
• Tech savvy, detail oriented, and highly driven
• Outstanding interpersonal and communication skills
• A genuine passion for engineering high-quality solutions
• Relevant formal education, including BSCS or MSCS

We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status"
8,Software Engineer (Full Stack Developer),Arcadis,via Arcadis,"Hyderabad, Telangana (+1 other)","Description
From climate change to urbanization, we live in an increasingly complex world. Whatever the challenge, we deliver exceptional and sustainable outcomes for our clients, improving quality of life.
You know you’re in the right career when work becomes play, when organization purpose aligns with your personal purpose making every day a meaningful day. And your work helps the industry, the environment and the planet earth in positive ways while you get the opportunities, support and benefits you need.
Passionate, and curious and proactive. Purpose Driven and energized. That’s #LifeAtArcadis #SustainableCities #PlanetforNextGeneration. Are you ready to discover it for yourself?

ARCADIS is looking for looking for people with a passion to drive and execute Digital to the core of everything we do. We firmly believe in “Everything Digital, Digital Everything”. We are transforming, we are reimagining the industry and we are reimagining how communities and nations can help becoming... more sustainable places to live for today and future generations.
Technology is the core and integral part of what we do, all the way for empowering Arcadians to harnessing power of data and AI/ML for sensors, IIOT and Advanced Drones, the technology teams are Dreaming Big and Delivering on future. As part of our Technology drive, we are looking for on-board talented and passionate full stack engineers for Hyderabad and Bangalore location.

Qualifications
Job Title: Software Engineer (Full Stack)
Who you are:
• Possess excellent design and coding skills and a zeal for owning the complete SDLC of building applications in a DevOps environment
• You are curious. You like to learn new technologies, and you adapt well to change
• You are excited about working with cloud-native stack, building on Azure and AWS cloud
• You possess a sense of intellectual curiosity and a burning desire to learn
• You possess a strong sense of software engineering craftsmanship, take pride in your code
• You thrive in collaborative agile teams and are ready to take on new and unexpected challenges while building the next wave of software engineering solutions
• Possess a strong sense of design, zeal for coding and takes pride in the code they’re responsible for while defining best practices as our teams abide by a You Build It You Own It attitude
What You’ll Own:
• Collaborating with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies
• Leading the craftsmanship, security, availability, resilience, and scalability of your solutions
• Bringing a passion to stay on top of current trends, experiment with and learn new technologies, participate in internal & external technology communities, and mentor other members of the engineering community
• Encouraging innovation, implementation of cutting-edge technologies, outside-of-the-box thinking, teamwork, and self-organization
• Assisting in the hiring of top engineering talent and maintaining our commitment to our values, culture and passion

The ideal candidates should:
• Bachelor’s Degree in Information Systems, Computer Science or in a related field or equivalent work experience and practical knowledge
• Professional experience as a full stack developer or similar role
• Experience developing desktop and mobile applications. Familiarity with common stacks. Relevant experience in web development .NET Core, ASP.NET, Entity Framework and Azure Web Apps Relevant experience in web development Nodejs, MEAN Stack and AngularJS/ React.
• Knowledge of multiple front-end languages, back-end languages and libraries and abilities handle every aspect of frontend, backend development and services plus 3rd party API integration
• Build resilient and reusable Microservices & API using latest technologies and patterns
• Experience in automated CI/CD, Containers and Cloud technologies Utilize the latest advancement in Microsoft Web technology and new design patterns to enhance usability and functionality of the IT solution

Basic Qualifications:
• Bachelor’s Degree in computer science and/or its equivalent
• experience in above technologies and architectures
• Experience of Test Driven Development

Preferred Qualifications:
• Master’s or Minor in Computer Science
• Developing RESTful APIs
• Architecture, design experience with good knowledge of design patterns & their implementation.

Key competencies / Values:
• People First: We care for each other and create a safe and respectful working environment where our people can grow, perform, and succeed.
• Integrity: We always work to the highest professional and ethical standards and establish trust by being open, honest and responsible.
• Client Success: We are passionate about our clients’ success and bring insights, agility, and innovation to co-create value.
• Collaboration: We value the power of diversity and our global capabilities and deliver excellence by working as One Arcadis.
• Sustainability: We base our actions for clients and communities on environmental responsibility and social and economic advancement  more sustainable places to live for today and future generations.
Technology is the core and integral part of what we do, all the way for empowering Arcadians to harnessing power of data and AI/ML for sensors, IIOT and Advanced Drones, the technology teams are Dreaming Big and Delivering on future. As part of our Technology drive, we are looking for on-board talented and passionate full stack engineers for Hyderabad and Bangalore location.

Qualifications
Job Title: Software Engineer (Full Stack)
Who you are:
• Possess excellent design and coding skills and a zeal for owning the complete SDLC of building applications in a DevOps environment
• You are curious. You like to learn new technologies, and you adapt well to change
• You are excited about working with cloud-native stack, building on Azure and AWS cloud
• You possess a sense of intellectual curiosity and a burning desire to learn
• You possess a strong sense of software engineering craftsmanship, take pride in your code
• You thrive in collaborative agile teams and are ready to take on new and unexpected challenges while building the next wave of software engineering solutions
• Possess a strong sense of design, zeal for coding and takes pride in the code they’re responsible for while defining best practices as our teams abide by a You Build It You Own It attitude
What You’ll Own:
• Collaborating with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies
• Leading the craftsmanship, security, availability, resilience, and scalability of your solutions
• Bringing a passion to stay on top of current trends, experiment with and learn new technologies, participate in internal & external technology communities, and mentor other members of the engineering community
• Encouraging innovation, implementation of cutting-edge technologies, outside-of-the-box thinking, teamwork, and self-organization
• Assisting in the hiring of top engineering talent and maintaining our commitment to our values, culture and passion

The ideal candidates should:
• Bachelor’s Degree in Information Systems, Computer Science or in a related field or equivalent work experience and practical knowledge
• Professional experience as a full stack developer or similar role
• Experience developing desktop and mobile applications. Familiarity with common stacks. Relevant experience in web development .NET Core, ASP.NET, Entity Framework and Azure Web Apps Relevant experience in web development Nodejs, MEAN Stack and AngularJS/ React.
• Knowledge of multiple front-end languages, back-end languages and libraries and abilities handle every aspect of frontend, backend development and services plus 3rd party API integration
• Build resilient and reusable Microservices & API using latest technologies and patterns
• Experience in automated CI/CD, Containers and Cloud technologies Utilize the latest advancement in Microsoft Web technology and new design patterns to enhance usability and functionality of the IT solution

Basic Qualifications:
• Bachelor’s Degree in computer science and/or its equivalent
• experience in above technologies and architectures
• Experience of Test Driven Development

Preferred Qualifications:
• Master’s or Minor in Computer Science
• Developing RESTful APIs
• Architecture, design experience with good knowledge of design patterns & their implementation.

Key competencies / Values:
• People First: We care for each other and create a safe and respectful working environment where our people can grow, perform, and succeed.
• Integrity: We always work to the highest professional and ethical standards and establish trust by being open, honest and responsible.
• Client Success: We are passionate about our clients’ success and bring insights, agility, and innovation to co-create value.
• Collaboration: We value the power of diversity and our global capabilities and deliver excellence by working as One Arcadis.
• Sustainability: We base our actions for clients and communities on environmental responsibility and social and economic advancement"
9,Full Stack Developer,Apple,via Jobs.apple.com,"Bengaluru, Karnataka","Summary
Posted: 25 Apr 2021
Weekly Hours: 40
Role Number:200239877

The people here at Apple don’t just build products — they build the kind of wonder that’s revolutionised entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it. Imagine what you could do here.

The AppleCare Digital team is looking for a smart and hardworking person to join our team as a Senior Full Stack Developer. You will help build world-class tools & utilities along with prototype applications to help our business teams. The AppleCare Digital team services more than 3 billion customers a year across a broad range of digital platforms. The organisation is responsible for all support and service of digital content, web assets, customer tools and apps, communities, analytics, SEO and social media. We are the... highest volume post sales support function in Apple and carry out to the highest standard of quality and innovation on behalf of our customers worldwide.

The job is located in Bangalore, India.

Key Qualifications

Key Qualifications
• Envision the functional and non-functional requirements to create solutions from scratch.
• To be able to define technologies, patterns and prototype solutions for new requirements to materialise it as a well functioning project.
• Design client-side and server-side architecture using modern engineering practices.
• Build the front-end of applications through appealing visual design.
• Develop and handle well-functioning databases and applications.
• Quickly learn and adapt new technologies to quickly develop required POCs and influence.
• Write effective APIs and use open source API’s (e.g. Google API’s).
• Use test driven development to ensure responsiveness, consistency and efficiency.
• Provide operations support, troubleshoot, debug and upgrade software.
• Build security and data protection settings using enterprise security standards.
• Build features and applications with a mobile responsive design.
• Responsible for maintenance and improvements of the developed application.
• Will be potentially involved in automation of QA and Operational processes.

Description

Description
Experience as a full stack engineer developing end to end solutions including server side and client side architectures.

Experience developing applications using micro service and SOA based architectures with highly scalable solutions.

Experience in developing desktop and mobile applications using modern engineering practices.

Familiarity with Cloud Engineering principles and architectures to build Cloud Native solutions, and implementing everything as code.

Familiarity with building solutions using scalable cloud services with Hybrid Cloud Architectures, Kubernetes Infrastructure, Secure Cloud Services, etc.

Experience in designing reactive and fault tolerant applications using modern concurrency principles using Spring Reactor, Reactive Extensions, Light-bend stack, etc.

Experience in designing and building cloud based responsive server side applications using server side technologies and languages (e.g. Java, Scala, Python, NodeJS, J2EE, GoLang, Spring, Hystrix, Lightbend, etc.).

Experience in designing and building progressive offline-first responsive web/mobile client side applications using modern client side technologies and frameworks (React, Angular, Next.JS, Vue, Flutter, Reactive Native, etc.)

Experience in building secure reliable applications with focus on vulnerability management, secure coding practices, OWASP standards, and understanding of tools like WebScan, Fortify, Web Inspect, SONAR, etc.

Strong Experience in Engineering Maturity principles with focus on behavioural driven development, static code analysis, DevOps, and zero downtime applications.

Knowledge in SQL(MySQL, Postgres, etc.) and No-SQL(MongoDB, CouchDB, Cassandra, Couchbase, etc.) databases.

Knowledge of Messaging Middleware Infrastructure services like Rabbit MQ, Kafka, AWS Kinesis, etc.

Ability to quickly build proof of concepts with production level standards to demonstrate the technical feasibility of the vision.

Proficiency in applying object oriented design principles, functional programming design principles and recommended design patterns to create robust and scalable system design.

Strong Experience in user experience design principles and designing single page progressive web applications with focus on responsiveness.

Experience leading and mentoring by influence, leading without authority, and building a diverse intellectual community.

Superb communication and collaboration skills Ability to translate business use cases into good taxonomy design.

Demonstrable skills in understanding importance of data design and domain driven design.

Strong knowledge of web support analytics.

Good to have - knowledge of knowledge base management within Digital support space.

Passionate about website usability with great instincts for improving customer support experience.

Strong program or project management skills.

Strong organisational proficiency and attention to detail with Excellent verbal and written communication skills including preparation and delivery of presentations, workshop design and facilitation.

Experience working with geographically distributed teams Demonstrate the ability to independently handle projects and communicate clearly with partner team Ability to express ideas clearly, expertly, and diplomatically.

Education & Experience

Education & Experience
Engineering Degree in Computer Science or related field - At least 10yrs hands on experience in software development with specific experience building software applications end to end.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Additional Requirements

Additional Requirements
• We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation  highest volume post sales support function in Apple and carry out to the highest standard of quality and innovation on behalf of our customers worldwide.

The job is located in Bangalore, India.

Key Qualifications

Key Qualifications
• Envision the functional and non-functional requirements to create solutions from scratch.
• To be able to define technologies, patterns and prototype solutions for new requirements to materialise it as a well functioning project.
• Design client-side and server-side architecture using modern engineering practices.
• Build the front-end of applications through appealing visual design.
• Develop and handle well-functioning databases and applications.
• Quickly learn and adapt new technologies to quickly develop required POCs and influence.
• Write effective APIs and use open source API’s (e.g. Google API’s).
• Use test driven development to ensure responsiveness, consistency and efficiency.
• Provide operations support, troubleshoot, debug and upgrade software.
• Build security and data protection settings using enterprise security standards.
• Build features and applications with a mobile responsive design.
• Responsible for maintenance and improvements of the developed application.
• Will be potentially involved in automation of QA and Operational processes.

Description

Description
Experience as a full stack engineer developing end to end solutions including server side and client side architectures.

Experience developing applications using micro service and SOA based architectures with highly scalable solutions.

Experience in developing desktop and mobile applications using modern engineering practices.

Familiarity with Cloud Engineering principles and architectures to build Cloud Native solutions, and implementing everything as code.

Familiarity with building solutions using scalable cloud services with Hybrid Cloud Architectures, Kubernetes Infrastructure, Secure Cloud Services, etc.

Experience in designing reactive and fault tolerant applications using modern concurrency principles using Spring Reactor, Reactive Extensions, Light-bend stack, etc.

Experience in designing and building cloud based responsive server side applications using server side technologies and languages (e.g. Java, Scala, Python, NodeJS, J2EE, GoLang, Spring, Hystrix, Lightbend, etc.).

Experience in designing and building progressive offline-first responsive web/mobile client side applications using modern client side technologies and frameworks (React, Angular, Next.JS, Vue, Flutter, Reactive Native, etc.)

Experience in building secure reliable applications with focus on vulnerability management, secure coding practices, OWASP standards, and understanding of tools like WebScan, Fortify, Web Inspect, SONAR, etc.

Strong Experience in Engineering Maturity principles with focus on behavioural driven development, static code analysis, DevOps, and zero downtime applications.

Knowledge in SQL(MySQL, Postgres, etc.) and No-SQL(MongoDB, CouchDB, Cassandra, Couchbase, etc.) databases.

Knowledge of Messaging Middleware Infrastructure services like Rabbit MQ, Kafka, AWS Kinesis, etc.

Ability to quickly build proof of concepts with production level standards to demonstrate the technical feasibility of the vision.

Proficiency in applying object oriented design principles, functional programming design principles and recommended design patterns to create robust and scalable system design.

Strong Experience in user experience design principles and designing single page progressive web applications with focus on responsiveness.

Experience leading and mentoring by influence, leading without authority, and building a diverse intellectual community.

Superb communication and collaboration skills Ability to translate business use cases into good taxonomy design.

Demonstrable skills in understanding importance of data design and domain driven design.

Strong knowledge of web support analytics.

Good to have - knowledge of knowledge base management within Digital support space.

Passionate about website usability with great instincts for improving customer support experience.

Strong program or project management skills.

Strong organisational proficiency and attention to detail with Excellent verbal and written communication skills including preparation and delivery of presentations, workshop design and facilitation.

Experience working with geographically distributed teams Demonstrate the ability to independently handle projects and communicate clearly with partner team Ability to express ideas clearly, expertly, and diplomatically.

Education & Experience

Education & Experience
Engineering Degree in Computer Science or related field - At least 10yrs hands on experience in software development with specific experience building software applications end to end.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Additional Requirements

Additional Requirements
• We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation"
